BusinessName,isWomenOwned,OwnershipType,DiverseType,LeaderName,Designation
INNER FORCE TOTS INC.,0,BLACK,MBE,ASNETH COUNCIL,DIRECTOR
"DARUMA CAPITAL MANAGEMENT, LLC",0,ASIAN,MWBE,MARIKO O GORDON,CHIEF EXECUTIVE OFFICER
"DARUMA CAPITAL MANAGEMENT, LLC",0,ASIAN,MWBE,ROBERT MOTCH CH,HIEF FINANCIAL OFFICER
"PLASTIC CARD SYSTEMS, INC.",1,NON-MINORITY,WBE,DONALD AXLINE PRES,SIDENT
"PLASTIC CARD SYSTEMS, INC.",1,NON-MINORITY,WBE,ROBERT P AXLINE JR,CHIEF EXECUTIVE OFFICER
Trivision Group Inc.,0,ASIAN,MBE,ANDY SHENOY,PRESIDENT
ZETLIN STRATEGIC COMMUNICATIONS INC.,1,NON-MINORITY,WBE,ALEXANDRA ZETLIN,PRESIDENT
"Lupini Construction, Inc.",1,NON-MINORITY,WBE,LORI LUPINI , PRESIDENT
"Lupini Construction, Inc.",1,NON-MINORITY,WBE,MAX D LUPINI,PRESIDENT
Naughton Energy Corporation,0,ASIAN,MBE,MARIETTE NAUGHTON,PRESIDENT
"VIA EVALUATION, INC.",1,NON-MINORITY,WBE,GARY CIURCZAK,PARTNER
"VIA EVALUATION, INC.",1,NON-MINORITY,WBE,JESSICA WEITZEL,L PRESIDENT
"MAC EQUIPMENT, LLC",1,NON-MINORITY,WBE,ROBERT W MILLER JR,MANAGING MEMBER
"DEUTSCHER & DAUGHTER, INC.",1,NON-MINORITY,WBE,ALLAN DEUTSCHER T,TREASURER
"DEUTSCHER & DAUGHTER, INC.",1,NON-MINORITY,WBE,REBECCA DEUTSCHER,PRESIDENT
"RC Group, Inc.",1,NON-MINORITY,WBE,JENNIFER PARKE,PRESIDENT
"Perimeter Security, Inc.",0,ASIAN,MBE,ALBERT PEREZ,CHIEF EXECUTIVE OFFICER
"Perimeter Security, Inc.",0,ASIAN,MBE,RICHARD RAGHNA,AL PRESIDENT
"Foit-Albert Associates, Architecture, Engineering and Surveying, P.C.",0,HISPANIC,MBE,BEVERLY FOIT-,#NAME?
"SAJID CONTRACTING, CORP.",0,ASIAN,MBE,SAJID MEHMOOD,PRESIDENT
Reidy Contracting Group LLC,1,NON-MINORITY,WBE,LORRAINE RE,EIDY CHIEF FINANCIAL OFFICER
Reidy Contracting Group LLC,1,NON-MINORITY,WBE,PAT REIDY,MEMBER
Techolution LLC,0,ASIAN,MBE,LUV TULSIDAS,MNG MBR
Commdex Consulting LLC,0,ASIAN,MBE,PRINCE NIYYAR,PRESIDENT
Eddington Security Inc.,0,ASIAN,MWBE,JUDY EDDINGTON,PRESIDENT
"DACK CONSULTING SOLUTIONS, INC.",0,BLACK,MWBE,ALEKSANDRA CHANCY,CHIEF EXECUTIVE OFFICER
"MMI, INC.",1,NON-MINORITY,WBE,RICHARD PIERRE,CHIEF EXECUTIVE OFFICER
"Business Relocation Services, Inc.",0,HISPANIC,MBE,JESUS LINARES,PRES
"SKILL-MAN CONTRACTING, INC.",1,NON-MINORITY,WBE,VINCENZA LATEMPA,PRESIDENT
"Priority One Ambulance, Inc.",1,NON-MINORITY,WBE,AVIVA NEGINSKY,PRESIDENT
The Daston Corporation,1,NON-MINORITY,WBE,GARY CALLEN,PRESIDENT
"Careit Health, LLC",1,NON-MINORITY,WBE,RACHEL KOHLER,CHIEF EXECUTIVE OFFICER
Diversified Systems Inc.,0,BLACK,MBE,ARCHIE D WILLIAMSON JR,PRESIDENT
R & R Scaffolding Ltd.,0,HISPANIC,MBE,GIOVANNI SAVIMOVICH,PRES
"POTION DESIGN, LLC",0,ASIAN,MBE,PHILLIP TIONGSON,MANAGING MEMBER
Crossfire Consulting Corp.,1,NON-MINORITY,WBE,JESSICA MAZZEO,CHAIRMAN OF THE BOARD
Crossfire Consulting Corp.,1,NON-MINORITY,WBE,KATIE DELGADO , CHIEF OPERATING OFFICER
"BLAYLOCK VAN, LLC",0,BLACK,MBE,ERIC STANDIFER,PRES-CEO
"BLAYLOCK VAN, LLC",0,BLACK,MBE,PHILIP IPPOLITO , CHIEF FINANCIAL OFFICER
NY 29 WEST LLC,0,ASIAN,MBE,RAYMOND LAM,MEMBER
Egg Electric Inc.,1,NON-MINORITY,WBE,ELLEN H ASCHENDORF,PRES
KORE CONTRACTING CORP.,0,ASIAN,MWBE,NARINDER KAUR,PRESIDENT
KAMBRIAN CORPORATION,0,ASIAN,MWBE,CATHY HSIEH,CHIEF EXECUTIVE OFFICER
KAMBRIAN CORPORATION,0,ASIAN,MWBE,HENRY HSIEH,CHIEF OPERATING OFFICER
"SAGE DOCUMENT SERVICES GROUP, LLC",0,BLACK,MBE,KEVIN WILLIAMS,GENERAL MANAGER
"Eastern Bag and Paper Company, Incorporated",1,NON-MINORITY,WBE,JAMES SUGARMAN,BR MGR
"NATURAL RESTORATIONS BY LINDA J & CO., INC.",1,NON-MINORITY,WBE,LINDA JEDRYSIK,PRESIDENT
"LITTLE STARS SCHOOL, INC.",1,NON-MINORITY,WBE,CHRISTINE DEGENNARO,PRESIDENT
"Mitchell & Titus, LLP",0,BLACK,MBE,ANTHONY S KENDALL,CEO
"Mitchell & Titus, LLP",0,BLACK,MBE,REBECCA BOYER CHI,IEF FINANCIAL OFFICER
Cardoza Plumbing Corp.,0,HISPANIC,MBE,RAYMOND CARDOZA,PRESIDENT
Cooper Tank & Welding Corp.,1,NON-MINORITY,WBE,RAY KVEDARAS,MGR
"LASHAY'S CONSTRUCTION & DEVELOPMENT CO., INC.",0,BLACK,MBE,ANDREW F SIMMONS,PRESIDENT
"Paramount Security Bureau, Inc.",0,BLACK,MBE,SOLOMON OSA EDOBOR,PRESIDENT
XL ALLIANCE LLC,0,HISPANIC,MWBE,ENRIQUE ARBELAEZ,MANAGING MEMBER
"Atlas Switch Co., Inc.",1,NON-MINORITY,WBE,GINA PARADISE,PRESIDENT
"Ih Engineers, P.C.",0,ASIAN,MBE,IFTEKHAR HOSSAIN,PRES
TECHNIQUEST CORPORATION,0,ASIAN,MBE,HASEEB AHSON,PRESIDENT
SUSAN R BAUER INC,1,NON-MINORITY,WBE,SUSAN R BAUER,PRESIDENT
Lead It Corporation,0,ASIAN,MBE,RAM P TALLURI,DIRECTOR
Dice It Solutions Limited Liability Company,0,ASIAN,MWBE,BINDU MADIRAJU,PRESIDENT
Dice It Solutions Limited Liability Company,0,ASIAN,MWBE,RAM MADIRAJU C,CHIEF OPERATING OFFICER
STRATEGIC FIRE CORP.,0,HISPANIC,MBE,REY LUNA,PRESIDENT
Empire State Electric Maintenance & Data Corp.,1,NON-MINORITY,WBE,GLORIA GRISTINA,PRESIDENT
"MONDRE ENERGY, INC.",1,NON-MINORITY,WBE,JUDITH MONDRE,PRESIDENT
"Safeway Contracting, Inc.",1,NON-MINORITY,WBE,CARA GREELEY,PRESIDENT
Linear Contracting Inc,1,NON-MINORITY,WBE,LORI PARRINO,PRESIDENT
"VOLTAMP ELECTRICAL CONTRACTORS, INC.",0,ASIAN,MBE,ALPESHKUMAR PATEL,PRESIDENT
"Stellar Services, Inc.",0,ASIAN,MBE,LIANG CHEN,PRES
"Cardiac Life Products, Inc.",1,NON-MINORITY,WBE,MARY WYNNE,PRESIDENT
"Lebenthal & Co., LLC",1,NON-MINORITY,WBE,JAMES A LEBENTHAL,CEO
Big Apple Sign Corp.,0,ASIAN,MBE,AMIR KHALFAN,CHB
Big Apple Sign Corp.,0,ASIAN,MBE,RICHI SHAH C,CHIEF FINANCIAL OFFICER
"PETK, INC.",0,HISPANIC,MBE,PAUL TENORIO,PRESIDENT
Mayor Transportation LLC,1,NON-MINORITY,WBE,AZA SOLIMAN,OWNER
"JEG, INC.",0,HISPANIC,MBE,JORGE GONI,PRESIDENT
"COMPUTER BLUE TECHNOLOGIES, LLC",0,BLACK,MBE,BYRON HURLOCK,MEMBER
"Gholkar's, Inc.",0,ASIAN,MWBE,REKHA GHOLKAR , TREASURER
"Gholkar's, Inc.",0,ASIAN,MWBE,SHASHI GHOLKAR,PRESIDENT
"Red Arrow Consulting, Inc.",1,NON-MINORITY,WBE,LIZ LASATER,CHIEF EXECUTIVE OFFICER
Good-Will Mechanical Corp.,0,ASIAN,MBE,WILLIAM CHIN,CHIEF EXECUTIVE OFFICER
"Horwith Trucks, Inc.",1,NON-MINORITY,WBE,REGINA GRIM,PRESIDENT
"Rvm Enterprises, Inc.",1,NON-MINORITY,WBE,CHERYL BRUNETTI,CHM
"Rvm Enterprises, Inc.",1,NON-MINORITY,WBE,VINCENT BRUNETTI , CHIEF EXECUTIVE OFFICER
MARKET PIONEER INTERNATIONAL CORP.,0,ASIAN,MWBE,BETTY LEE,PRESIDENT
"Midwest REM Enterprises, Inc.",0,HISPANIC,MBE,ALBERTO RAMIREZ,PRESIDENT
"Information Management Resources, Inc.",0,BLACK,MWBE,MARTHA DANIEL,CEO
